stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1212000,,"Groupe Medical promethee R","",5.352319,-4.099425,,,0,YT004,,,
1212001,,"Clinique Médicale Promethée A","",5.352242,-4.099278,,,0,YT004,,,
1212100,,"Shell carrefour Oasis R","",5.354533,-4.09945,,,0,YT005,,,
1212101,,"Shell Carrefour Oasis A","",5.354333,-4.099322,,,0,YT005,,,
1212200,,"Station Total Ananeraie R","",5.355103,-4.094889,,,0,YT006,,,
1212201,,"Station Total Ananeraie A","",5.354981,-4.096114,,,0,YT006,,,
1212300,,"Eglise Protestante CEMA PB2 R","",5.355217,-4.091911,,,0,YT007,,,
1212301,,"Eglise Protestante CMA PB2 A","",5.355117,-4.091206,,,0,YT007,,,
1213101,,"CITE SIR A","",5.378428,-3.946422,,,0,CT018,,,
1213200,,"Allocodrome Dokui A","",5.399411,-3.995953,,,0,CA041,,,
1213201,,"Allocodrome Dokui R","",5.399292,-3.996061,,,0,CA041,,,
1217500,,"Terminus BEAGO","",5.308808,-4.070311,,,0,YS007,,,
1217501,,"Terminus beago","",5.308906,-4.070447,,,0,YS007,,,
1217600,,"Complexe hôtelier","",5.3084,-4.0715,,,0,YS006,,,
1217601,,"Complexe hôtelier","",5.310797,-4.074497,,,0,YS006,,,
1217700,,"ALPI R","",5.3113,-4.075197,,,0,YS004,,,
1217701,,"ALPI A","",5.312397,-4.075697,,,0,YS004,,,
1217800,,"Marché Béago R","",5.314997,-4.077797,,,0,YS003,,,
1217801,,"Marché Béago A","",5.3149,-4.0777,,,0,YS003,,,
1217900,,"3 Cocotier","",5.3168,-4.077497,,,0,YS002,,,
1217901,,"3 Cocotier","",5.3173,-4.077297,,,0,YS002,,,
1218000,,"Hôtel paradis","",5.319197,-4.078647,,,0,YS001,,,
1218001,,"Hôtel paradis","",5.319297,-4.0786,,,0,YS001,,,
1218200,,"Carrefour Kouté R","",5.321542,-4.078194,,,0,YS008,,,
1218201,,"Carrefour Kouté A","",5.3214,-4.0781,,,0,YS008,,,
1218300,,"Gare yopougon beago","",5.324,-4.0776,,,0,YS009,,,
1218301,,"Gare yopougon beago","",5.32395,-4.077497,,,0,YS009,,,
1218700,,"Arrêt Boulangerie A","",5.376336,-4.025497,,,0,DC012,,,
1218701,,"Arrêt Boulangerie R","",5.376369,-4.025639,,,0,DC012,,,
1218800,,"Arrêt Escalier R","",5.374381,-4.026206,,,0,DC013,,,
1218801,,"Arrêt Escalier A","",5.374503,-4.026256,,,0,DC013,,,
1218900,,"Arrêt Pharmacie Rapha R","",5.372311,-4.026944,,,0,DC014,,,
1218901,,"Arrêt Pharmacie Rapha A","",5.372342,-4.027081,,,0,DC014,,,
1219000,,"Arret Depot B","",5.37075,-4.026886,,,0,CD015,,,
1219001,,"Arret Depot B","",5.371114,-4.027181,,,0,CD015,,,
1219100,,"Arret Craven A","",5.369728,-4.0264,,,0,CD016,,,
1219101,,"Arret Craven R","",5.3698,-4.026544,,,0,CD016,,,
1219200,,"Pharmacie Esmes A","",5.367794,-4.025525,,,0,CD017,,,
1219201,,"Pharmacie Esmes R","",5.368353,-4.025894,,,0,CD017,,,
1219300,,"Pharmacie Residence","",5.4502,-4.050789,,,0,NC007,,,
1219301,,"Pharmacie Residence","",5.450228,-4.051019,,,0,NC007,,,
